2019-06-01T18:42:18.213+0200 I CONTROL  [main] Automatically disabling TLS 1.0, to force-enable TLS 1.0 specify --sslDisabledProtocols 'none'
2019-06-01T18:42:18.232+0200 I CONTROL  [initandlisten] MongoDB starting : pid=52547 port=27017 dbpath=/Users/airSchmao1/Documents/_workshops/London_IDA/dev/web/compostpile/./data/db 64-bit host=dvmb
2019-06-01T18:42:18.232+0200 I CONTROL  [initandlisten] db version v4.0.9
2019-06-01T18:42:18.232+0200 I CONTROL  [initandlisten] git version: fc525e2d9b0e4bceff5c2201457e564362909765
2019-06-01T18:42:18.232+0200 I CONTROL  [initandlisten] allocator: system
2019-06-01T18:42:18.232+0200 I CONTROL  [initandlisten] modules: none
2019-06-01T18:42:18.232+0200 I CONTROL  [initandlisten] build environment:
2019-06-01T18:42:18.232+0200 I CONTROL  [initandlisten]     distarch: x86_64
2019-06-01T18:42:18.232+0200 I CONTROL  [initandlisten]     target_arch: x86_64
2019-06-01T18:42:18.232+0200 I CONTROL  [initandlisten] options: { net: { bindIp: "localhost", port: 27017 }, processManagement: { fork: true }, replication: { replSet: "rs0" }, storage: { dbPath: "./data/db" }, systemLog: { destination: "file", path: "var/log/mongod.log" } }
2019-06-01T18:42:18.234+0200 W STORAGE  [initandlisten] Detected unclean shutdown - /Users/airSchmao1/Documents/_workshops/London_IDA/dev/web/compostpile/./data/db/mongod.lock is not empty.
2019-06-01T18:42:18.234+0200 I STORAGE  [initandlisten] Detected data files in /Users/airSchmao1/Documents/_workshops/London_IDA/dev/web/compostpile/./data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2019-06-01T18:42:18.234+0200 W STORAGE  [initandlisten] Recovering data from the last clean checkpoint.
